LIBRARIES / TOOLS,,,,,,,,,,Medians,,,,,,,,,,,,,,,,,,,,Medians
,ApacheAnt 1.5.3-1,ApacheAnt 1.6.5,ApacheAnt 1.7.1,ApacheAnt 1.8.0,ApacheAnt 1.9.0,ApacheAnt 1.9.6,ApacheAnt 1.9.16,ApacheAnt 1.10.4,ApacheAnt 1.10.12,,,Java Design Patterns,JUnit ,Arduino,Mindustry,Signal Android,sndcpy,termux,Tsunami,Algorithms,baritone,dropwizard jobs,guava,exercism,mockito,OpenRefine,realm,spring boot,zerocode,
5,9.4,11,10.7,10.6,10.7,10.6,10.6,10.7,10.4,10.6,5,1.5,4.2,9.5,13,10.8,0,6.6,1.9,3.7,6.5,1.9,3.9,1.6,3.2,4.6,2.7,4.8,1.9,3.8
6,3.9,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.6,6,3.3,5.4,8.8,8.2,6.1,0,1.7,1.9,4.8,5.6,5.7,4.4,4.4,4.6,3.7,1.7,3.8,2.7,4.4
7,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,7,1.4,1.7,2.8,2,1.7,0,0.6,1.2,1.1,2,0,1.5,2.5,1.5,0.7,0.6,1,0.1,1.3
8,0,0,0,0,0,0,0,0,0,0,8,0,0.8,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.1,0,0
9,26.3,24,24,23.8,23.7,23.5,23.4,23.3,23.1,23.7,9,33.7,34.6,63.5,34.6,32.4,39.5,36.5,20.6,39.1,34.8,48.6,24.9,41.5,33.5,26.6,28.8,21.1,22.5,34.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMES,,,,,,,,,,,,,Medians,,,,,,,,,,,,,,,,,
,FreeCol,Kroniax ,Stendhal,Terasology,Cengball,Tic tac toe,EbbeFlut,"wbta - ""wannabe tempest",PuzzleGame - Cocos2d,Pixel dungeon,Memory game,greenwall,,,,,,,,,,,,,,,,,,
Total methods,1110,118,6498,5729,340,25,141,79,1229,700,107,35,,,,,,,,,,,,,,,,,,
Method violations (length),119,1,1101,1294,14,0,6,0,100,19,3,1,,,,,,,,,,,,,,,,,,
Method violations (case),18,0,98,24,7,0,3,2,59,8,1,0,,,,,,,,,,,,,,,,,,
Total fields,826,168,7762,7234,577,45,189,299,1647,2002,240,165,,,,,,,,,,,,,,,,,,
Field violations (length),32,0,350,810,29,0,1,3,91,8,2,6,,,,,,,,,,,,,,,,,,
Field violations (case),30,5,745,352,62,0,29,72,196,80,19,30,,,,,,,,,,,,,,,,,,
Field violations (underscore),0,0,0,0,0,0,0,0,202,0,6,,,,,,,,,,,,,,,,,,,
primary case type,,Camel (98%),Camel (98%),Camel (100%),Camel (100%),Camel (100%),Camel (100%),Camel,Camel,Camel,Camel,Camel,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Total,1936,286,14260,12963,917,70,330,378,2876,2702,347,200,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method Violation %,FreeCol,Kroniax ,Stendhal,Terasology,Cengball,Tic tac toe,EbbeFlut,Tempest,PuzzleGame ,Pixel dungeon,Memory game,Greenwall,,,,,,,,,,,,,,,,,,
Length,10.7,0.8,16.9,22.6,4.1,0,4.3,0,8.1,2.7,2.8,2.9,3.5,,,,,,,,,,,,,,,,,
Case,1.6,0,1.5,0.4,2.1,0,2.1,2.5,4.8,1.1,0.9,0,1.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Violation %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length,3.9,0,4.5,11.2,5,0,0.5,1,5.5,0.4,0.8,3.6,2.3,,,,,,,,,,,,,,,,,
Case,3.6,3,9.6,4.9,10.7,0,15.3,24.1,11.9,4,7.9,18.2,8.75,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java Spec Violations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,151,20,880,596,59,14,48,44,245,264,25,23,,,,,,,,,,,,,,,,,,
2,169,13,1516,1204,35,7,32,16,433,277,32,10,,,,,,,,,,,,,,,,,,
3,267,8,401,204,10,6,13,3,58,69,2,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binkley Violations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,107,84,1147,1001,89,5,30,31,253,148,63,16,,,,,,,,,,,,,,,,,,
5,42,8,383,386,2,2,21,17,110,120,6,0,,,,,,,,,,,,,,,,,,
6,60,3,328,227,15,4,9,12,76,122,5,6,,,,,,,,,,,,,,,,,,
7,25,1,84,60,7,0,6,4,23,30,2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relf Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,7,0,0,0,0,0,3,0,6,0,,,,,,,,,,,,,,,,,,
9,351,46,2230,1547,148,35,83,103,584,921,86,68,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violation,FreeCol,Kroniax ,Stendhal,Terasology,Cengball,Tic tac toe,EbbeFlut,Tempest,PuzzleGame ,Pixel dungeon,Memory game,greenwall,,,,,,,,,,,,,,,,,,
1,18.3,11.9,11.3,8.2,10.2,31.1,25.4,14.7,14.9,13.2,10.4,13.9,13.55,,,,,,,,,,,,,,,,,
2,15.2,11,23.3,21,10.3,28,22.7,20.3,35.2,39.6,29.9,28.6,23,,,,,,,,,,,,,,,,,
3,24.1,6.8,6.2,3.6,2.9,24,9.2,3.8,4.7,9.9,1.9,14.3,6.5,,,,,,,,,,,,,,,,,
4,13,50,14.8,13.8,15.4,11.1,15.9,10.4,15.4,7.4,26.3,9.7,14.3,,,,,,,,,,,,,,,,,
5,5.1,4.8,4.9,5.3,0.3,4.4,11.1,5.7,6.7,6,2.5,0,5,,,,,,,,,,,,,,,,,
6,7.3,1.8,4.2,3.1,2.6,8.9,4.8,4,4.6,6.1,2.1,3.6,4.1,,,,,,,,,,,,,,,,,
7,3,0.6,1.1,0.8,1.2,0,3.2,1.3,1.4,1.5,0.8,0.6,1.15,,,,,,,,,,,,,,,,,
8,0,0,0.1,0,0,0,0,0,0.2,0,2.5,0,0,,,,,,,,,,,,,,,,,
9,42.5,27.4,28.7,21.4,25.6,77.8,43.9,34.4,35.5,46,35.8,41.2,35.65,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLICATIONS,,,,,,,Glide,,,,,,,,,,,,,,,,,,,,,,,
,AntennaPod,appsmith,book project,glide,LanguageTool,News Android,Open LaTeX Studio,SeriesGuide,Teammates,,,,,,,,,,,,,,,,,,,,,
Total methods,2406,2839,497,3593,5274,978,208,1004,3879,,,,,,,,,,,,,,,,,,,,,
Method violations (length),770,1744,290,2173,1293,216,32,193,2139,,,,,,,,,,,,,,,,,,,,,
Method violations (case),143,278,10,75,462,34,2,174,258,,,,,,,,,,,,,,,,,,,,,
Total fields,3043,5057,427,2675,8947,1265,294,1791,4519,,,,,,,,,,,,,,,,,,,,,
Field violations (length),356,902,67,375,801,117,7,212,1162,,,,,,,,,,,,,,,,,,,,,
Field violations (case),62,39,38,317,24,5,0,14,9,,,,,,,,,,,,,,,,,,,,,
Field violations (underscore),0,0,0,0,91,3,0,3,0,,,,,,,,,,,,,,,,,,,,,
primary case type,camel,camel,camel,camel,camel,camel,camel,camel,camel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Total,5449,7896,924,6268,14221,2243,502,2795,8398,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Medians,,,,,,,,,,,,,,,,,,,,
Method Violation %,AntennaPod,Appsmith,Book Project,Glide,LanguageTool,News Android,Open LaTeX Studio,SeriesGuide,Teammates,,,,,,,,,,,,,,,,,,,,,
Length,32,61.4,58.4,60.5,24.5,22.1,15.4,19.2,55.1,32,,,,,,,,,,,,,,,,,,,,
Case,5.9,9.8,2,2.1,8.8,3.5,1,17.3,6.7,5.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Violation %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length,11.7,17.8,15.7,14,9,9.2,2.4,11.8,25.7,11.8,,,,,,,,,,,,,,,,,,,,
Case,2,0.8,8.9,11.9,0.3,0.4,0,0.8,0.2,0.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Java Spec Violations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,321,214,32,261,783,118,26,144,204,,,,,,,,,,,,,,,,,,,,,
2,952,610,56,619,1280,225,25,230,493,,,,,,,,,,,,,,,,,,,,,
3,156,29,10,77,313,42,3,82,65,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binkley Violations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,623,792,59,330,1271,272,39,415,781,,,,,,,,,,,,,,,,,,,,,
5,181,45,5,68,634,49,9,87,68,,,,,,,,,,,,,,,,,,,,,
6,109,68,6,85,228,44,9,49,52,,,,,,,,,,,,,,,,,,,,,
7,19,15,5,34,65,7,3,10,11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relf Violations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
9,905,897,121,669,1696,381,103,456,987,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violation,AntennaPod,appsmith,book project,glide,LanguageTool,News Android,Open LaTeX Studio,SeriesGuide,Teammates,,,,,,,,,,,,,,,,,,,,,
1,10.5,4.2,7.5,9.8,8.8,9.3,8.8,8,4.5,8.8,4,,,,,,,,,,,,,,,,,,,
2,39.6,21.5,11.3,17.2,24.3,23,12,22.9,12.7,21.5,2,,,,,,,,,,,,,,,,,,,
3,6.5,1,2,2.1,5.9,4.3,1.4,8.2,1.7,2.1,7,,,,,,,,,,,,,,,,,,,
4,20.5,15.7,13.8,12.3,14.2,21.5,13.3,23.2,17.3,15.7,3,,,,,,,,,,,,,,,,,,,
5,5.9,0.9,1.2,2.5,7.1,3.9,3.1,4.9,1.5,3.1,5,,,,,,,,,,,,,,,,,,,
6,3.6,1.3,1.4,3.2,2.5,3.5,3.1,2.7,1.2,2.7,6,,,,,,,,,,,,,,,,,,,
7,0.6,0.3,1.2,1.3,0.7,0.6,1,0.6,0.2,0.6,8,,,,,,,,,,,,,,,,,,,
8,0,0,0,0.1,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,
9,29.7,17.7,28.3,25,19,30.1,35,25.5,21.8,25.5,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,
,Rule,Games median % violations,Libraries/tools median % violations,Applications median % violations,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,13.55,13.85,8.8,4,4,4,,,,,,,,,,,,,,,,,,,,,,,
,2,23,28.7,21.5,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
,3,6.5,2.3,2.1,5,7,7,,,,,,,,,,,,,,,,,,,,,,,
,4,14.3,14.4,15.7,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
,5,5,3.8,3.1,6,6,5,,,,,,,,,,,,,,,,,,,,,,,
,6,4.1,4.4,2.7,7,5,6,,,,,,,,,,,,,,,,,,,,,,,
,7,1.15,1.3,0.6,8,8,8,,,,,,,,,,,,,,,,,,,,,,,
,8,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,
,9,35.65,34.15,25.5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,Long methods,3.5,39.45,32,,,,,,,,,,,,,,,,,,,,,,,,,,
,Method case violations,1.3,1.75,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,Long fields,2.3,8.95,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,Field case violations,8.75,6.05,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,median rule 4 =,14.5,15.68958333,,,Total fields evaluated:,108397,,,,,,,,,,,,,,,,,,,,,,,
,median rule 5 =,4.3,5.516666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,median rule 6 =,3.65,3.854166667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,median rule 7 =,1.05,1.095833333,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violation desc,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fields that aren't nouns, noun phrases, or abbreviations for nouns",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method names that aren't verbs or verb phrases,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methods that test boolean conditions V not named ""isV""",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-boolean fields that contain a present tense verb ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boolean field names without ""is""/""was""/""are""/""should"" etc.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field names that are only a verb,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field names that are only an adjective,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numeric identifier names,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identifiers not made up of 2-4 words,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
