# Dependencies for design1034
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun Apr 24 08:52:34 NZST 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1034
# Codebase	./../grad006-03/design1034/design1034

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.UI	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.UI#public <init>(com.qualitascorpus.testsupport.IO) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Put	Method	kalah.UI#public <init>(com.qualitascorpus.testsupport.IO) {}	2	kalah.UI#private com.qualitascorpus.testsupport.IO io	Private	None
kalah.UI	kalah	Class	public	kalah.Player	kalah	Class	Parameter	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	0	To whole module	Public	None
kalah.UI	kalah	Class	public	void*		Primitive	Return	Method	kalah.UI#public void promptPlayer(kalah.Player) {}		To whole module	Public	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	2	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	3	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.Player	kalah	Class	InvokeInstance	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	4	kalah.Player#public int getId() {}	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	5	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	7	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	8	com.qualitascorpus.testsupport.IO#java.lang.String readFromKeyboard(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Put	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	9	kalah.UI#private java.lang.String inputResponse	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Get	Method	kalah.UI#public void promptPlayer(kalah.Player) {}	1	kalah.UI#private com.qualitascorpus.testsupport.IO io	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#public java.lang.String getInputResponse() {}		To whole module	Public	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Get	Method	kalah.UI#public java.lang.String getInputResponse() {}	1	kalah.UI#private java.lang.String inputResponse	Private	None
kalah.UI	kalah	Class	public	void*		Primitive	Return	Method	kalah.UI#public void gameOver() {}		To whole module	Public	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.UI#public void gameOver() {}	2	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Get	Method	kalah.UI#public void gameOver() {}	1	kalah.UI#private com.qualitascorpus.testsupport.IO io	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#public void finalScores(int,int) {}	0,1	To whole module	Public	None
kalah.UI	kalah	Class	public	void*		Primitive	Return	Method	kalah.UI#public void finalScores(int,int) {}		To whole module	Public	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#public void finalScores(int,int) {}	2,8	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#public void finalScores(int,int) {}	3,9	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#public void finalScores(int,int) {}	4,10	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#public void finalScores(int,int) {}	5,11	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.UI#public void finalScores(int,int) {}	6,12,14,16,18	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Get	Method	kalah.UI#public void finalScores(int,int) {}	1,7,13,15,17	kalah.UI#private com.qualitascorpus.testsupport.IO io	Private	None
kalah.UI	kalah	Class	public	void*		Primitive	Return	Method	kalah.UI#public void invalidMove() {}		To whole module	Public	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.UI#public void invalidMove() {}	2	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Get	Method	kalah.UI#public void invalidMove() {}	1	kalah.UI#private com.qualitascorpus.testsupport.IO io	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	0,1,2,3,4	To whole module	Public	None
kalah.UI	kalah	Class	public	void*		Primitive	Return	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}		To whole module	Public	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Local	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	0,1	To whole module	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	1	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	2	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	4,14	kalah.UI#private java.lang.String generateOuterBoard(int) {}	Private	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	InvokeInterface	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	5,7,10,12,15	com.qualitascorpus.testsupport.IO#void println(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	9	kalah.UI#private java.lang.String generateInnerBoard(int) {}	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	Get	Method	kalah.UI#public void displayBoard(int,int[],int[],int,int) {}	3,6,8,11,13	kalah.UI#private com.qualitascorpus.testsupport.IO io	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	0,1,2	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}		To whole module	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Local	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	0,1,2	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Local	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	3	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	1,10,19	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	2,11,20	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	4,22	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	6,13,24	kalah.UI#private java.lang.String spaceNumber(int) {}	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateP1Row(int[],int,int) {}	9,18,26	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	0,1,2	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}		To whole module	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Local	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	0,1,2	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Local	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	3	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	1,9,19	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	2,10,20	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	4,22	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	6,12,24	kalah.UI#private java.lang.String spaceNumber(int) {}	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateP2Row(int[],int,int) {}	8,18,26	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#private java.lang.String generateOuterBoard(int) {}	0	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#private java.lang.String generateOuterBoard(int) {}		To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateOuterBoard(int) {}	1	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateOuterBoard(int) {}	2	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateOuterBoard(int) {}	3	kalah.UI#private java.lang.String generateBoardPieces(int) {}	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateOuterBoard(int) {}	6	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#private java.lang.String generateInnerBoard(int) {}	0	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#private java.lang.String generateInnerBoard(int) {}		To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateInnerBoard(int) {}	1	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateInnerBoard(int) {}	2	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	kalah.UI	kalah	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateInnerBoard(int) {}	3	kalah.UI#private java.lang.String generateBoardPieces(int) {}	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateInnerBoard(int) {}	6	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#private java.lang.String spaceNumber(int) {}	0	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#private java.lang.String spaceNumber(int) {}		To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Local	Method	kalah.UI#private java.lang.String spaceNumber(int) {}	0	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String spaceNumber(int) {}	1	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String spaceNumber(int) {}	2	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String spaceNumber(int) {}	3	java.lang.StringBuilder#java.lang.StringBuilder append(int) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String spaceNumber(int) {}	4	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}	0	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Return	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}		To whole module	Private	None
kalah.UI	kalah	Class	public	int*		Primitive	Local	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}	0	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Local	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}	1	To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeSpecial	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}	1,5	java.lang.StringBuilder#<init>() <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}	2,6	java.lang.StringBuilder#java.lang.StringBuilder append(java.lang.String) <>*	Private	None
kalah.UI	kalah	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	kalah.UI#private java.lang.String generateBoardPieces(int) {}	4,8	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Field	Field	kalah.UI#private com.qualitascorpus.testsupport.IO io		To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.String*	java.lang	Class	Field	Field	kalah.UI#private java.lang.String inputResponse		To whole module	Private	None
kalah.BoardSpot	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	kalah.Player	kalah	Class	Parameter	Constructor	kalah.BoardSpot#public <init>(kalah.Player,int) {}	0	To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.BoardSpot#public <init>(kalah.Player,int) {}	1	To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.BoardSpot#public <init>(kalah.Player,int) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Put	Method	kalah.BoardSpot#public <init>(kalah.Player,int) {}	2	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Put	Method	kalah.BoardSpot#public <init>(kalah.Player,int) {}	3	kalah.BoardSpot#private kalah.Player player	Private	None
kalah.BoardSpot	kalah	Class	public	kalah.Player	kalah	Class	Return	Method	kalah.BoardSpot#public kalah.Player getPlayer() {}		To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Get	Method	kalah.BoardSpot#public kalah.Player getPlayer() {}	1	kalah.BoardSpot#private kalah.Player player	Private	None
kalah.BoardSpot	kalah	Class	public	int*		Primitive	Return	Method	kalah.BoardSpot#public int getNumSeeds() {}		To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Get	Method	kalah.BoardSpot#public int getNumSeeds() {}	1	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	void*		Primitive	Return	Method	kalah.BoardSpot#public void incrementSeeds() {}		To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Put	Method	kalah.BoardSpot#public void incrementSeeds() {}	2	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Get	Method	kalah.BoardSpot#public void incrementSeeds() {}	1	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.BoardSpot#public void addSeeds(int) {}	0	To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	void*		Primitive	Return	Method	kalah.BoardSpot#public void addSeeds(int) {}		To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Put	Method	kalah.BoardSpot#public void addSeeds(int) {}	2	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Get	Method	kalah.BoardSpot#public void addSeeds(int) {}	1	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	void*		Primitive	Return	Method	kalah.BoardSpot#public void clearSeeds() {}		To whole module	Public	None
kalah.BoardSpot	kalah	Class	public	kalah.BoardSpot	kalah	Class	Put	Method	kalah.BoardSpot#public void clearSeeds() {}	1	kalah.BoardSpot#private int numSeeds	Private	None
kalah.BoardSpot	kalah	Class	public	int*		Primitive	Field	Field	kalah.BoardSpot#private int numSeeds		To whole module	Private	None
kalah.BoardSpot	kalah	Class	public	kalah.Player	kalah	Class	Field	Field	kalah.BoardSpot#private kalah.Player player		To whole module	Private	None
kalah.Player	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.Player	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.Player#public <init>(int,int,int) {}	0,1,2	To whole module	Public	None
kalah.Player	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.Player#public <init>(int,int,int) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.Player	kalah	Class	public	java.util.ArrayList*	java.util	Class	InvokeSpecial	Method	kalah.Player#public <init>(int,int,int) {}	2	java.util.ArrayList#<init>() <>*	Private	None
kalah.Player	kalah	Class	public	kalah.Store	kalah	Class	InvokeSpecial	Method	kalah.Player#public <init>(int,int,int) {}	5	kalah.Store#public <init>(kalah.Player,int) {}	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	InvokeSpecial	Method	kalah.Player#public <init>(int,int,int) {}	7	kalah.Player#private void initHouses(int,int) {}	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Put	Method	kalah.Player#public <init>(int,int,int) {}	3	kalah.Player#private java.util.List houses	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Put	Method	kalah.Player#public <init>(int,int,int) {}	4	kalah.Player#private int id	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Put	Method	kalah.Player#public <init>(int,int,int) {}	6	kalah.Player#private kalah.Store store	Private	None
kalah.Player	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.Player#private void initHouses(int,int) {}	0,1	To whole module	Private	None
kalah.Player	kalah	Class	public	void*		Primitive	Return	Method	kalah.Player#private void initHouses(int,int) {}		To whole module	Private	None
kalah.Player	kalah	Class	public	int*		Primitive	Local	Method	kalah.Player#private void initHouses(int,int) {}	0,1	To whole module	Private	None
kalah.Player	kalah	Class	public	kalah.House	kalah	Class	InvokeSpecial	Method	kalah.Player#private void initHouses(int,int) {}	2	kalah.House#public <init>(kalah.Player,int,int) {}	Private	None
kalah.Player	kalah	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Player#private void initHouses(int,int) {}	3	java.util.List#boolean add(java.lang.Object) <>*	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Get	Method	kalah.Player#private void initHouses(int,int) {}	1	kalah.Player#private java.util.List houses	Private	None
kalah.Player	kalah	Class	public	kalah.Store	kalah	Class	Return	Method	kalah.Player#public kalah.Store getStore() {}		To whole module	Public	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Get	Method	kalah.Player#public kalah.Store getStore() {}	1	kalah.Player#private kalah.Store store	Private	None
kalah.Player	kalah	Class	public	int*		Primitive	Return	Method	kalah.Player#public int getTotalSeeds() {}		To whole module	Public	None
kalah.Player	kalah	Class	public	kalah.House	kalah	Class	Local	Method	kalah.Player#public int getTotalSeeds() {}	0	To whole module	Private	None
kalah.Player	kalah	Class	public	int*		Primitive	Local	Method	kalah.Player#public int getTotalSeeds() {}	1	To whole module	Private	None
kalah.Player	kalah	Class	public	java.util.List*	java.util	Interface	InvokeInterface	Method	kalah.Player#public int getTotalSeeds() {}	2	java.util.List#java.util.Iterator iterator() <>*	Private	None
kalah.Player	kalah	Class	public	java.util.Iterator*	java.util	Interface	InvokeInterface	Method	kalah.Player#public int getTotalSeeds() {}	3	java.util.Iterator#boolean hasNext() <>*	Private	None
kalah.Player	kalah	Class	public	java.util.Iterator*	java.util	Interface	InvokeInterface	Method	kalah.Player#public int getTotalSeeds() {}	4	java.util.Iterator#java.lang.Object next() <>*	Private	None
kalah.Player	kalah	Class	public	kalah.House	kalah	Class	InvokeInstance	Method	kalah.Player#public int getTotalSeeds() {}	6	kalah.House#int getNumSeeds() <>*	Private	None
kalah.Player	kalah	Class	public	kalah.BoardSpot	kalah	Class	InvokeInstance	Method	kalah.Player#public int getTotalSeeds() {}	6,8	kalah.BoardSpot#public int getNumSeeds() {}	Private	Inherited
kalah.Player	kalah	Class	public	kalah.Store	kalah	Class	InvokeInstance	Method	kalah.Player#public int getTotalSeeds() {}	8	kalah.Store#int getNumSeeds() <>*	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Get	Method	kalah.Player#public int getTotalSeeds() {}	1	kalah.Player#private java.util.List houses	Private	None
kalah.Player	kalah	Class	public	kalah.Player	kalah	Class	Get	Method	kalah.Player#public int getTotalSeeds() {}	7	kalah.Player#private kalah.Store store	Private	None
